Wall time,Step,Value
1770736109.88144,1068,-86.47721862792969
1770736110.435921,1069,-22.45641326904297
1770736116.214411,1071,-50.83882522583008
1770736117.961569,1072,-28.65311050415039
1770736119.024678,1073,-24.97126579284668
1770736121.8179462,1074,-67.40811920166016
1770736126.9813461,1075,-106.95410919189453
1770736131.0696433,1076,-96.66073608398438
1770736135.9176133,1077,-107.60602569580078
1770736139.5177152,1078,-57.29907989501953
1770736146.0367432,1079,-81.71516418457031
1770736156.8534203,1081,-104.47608947753906
1770736161.6888244,1082,-107.7920150756836
1770736161.8877718,1083,-52.736534118652344
1770736164.604115,1084,-98.8686752319336
1770736165.478801,1085,-53.18571472167969
1770736177.1784098,1086,-110.54253387451172
1770736178.192252,1087,-55.89046096801758
1770736182.6356056,1089,-98.4247817993164
1770736190.4601798,1091,-67.3574447631836
1770736195.2535143,1093,-49.8625373840332
1770736198.2873766,1094,-87.1560287475586
1770736201.1013458,1095,-105.81049346923828
1770736204.993449,1097,-112.40805053710938
